"313","nightgown","0","0","1"
"314","nightingale","0","0","1"
"315","nylons","0","0","1"
"316","oak","0","0","1"
"317","octopus","0","0","1"
"318","olive","0","0","1"
"319","onions","0","0","1"
"320","orange","0","0","1"
"321","oriole","0","0","1"
"322","ostrich","0","0","1"
"323","otter","0","0","1"
"324","oven","0","0","1"
"325","owl","0","0","1"
"326","ox","0","0","1"
"327","paintbrush","0","0","1"
"328","pajamas","0","0","1"
"329","pan","0","0","1"
"330","panther","0","0","1"
"331","pants","0","0","1"
"332","parakeet","0","0","1"
"333","parka","0","0","1"
"334","parsley","0","0","1"
"335","partridge","0","0","1"
"336","peach","0","0","1"
"337","peacock","0","0","1"
"338","pear","0","0","1"
"339","pearl","0","0","1"
"340","peas","0","0","1"
"341","peg","0","0","1"
"342","pelican","0","0","1"
"343","pen","0","0","1"
"344","pencil","0","0","1"
"345","penguin","0","0","1"
"346","pepper","0","0","1"
"347","perch","0","0","1"
"348","pheasant","0","0","1"
"349","piano","0","0","1"
"350","pickle","0","0","1"
"351","pie","0","0","1"
"352","pier","0","0","1"
"353","pig","0","0","1"
"354","pigeon","0","0","1"
"355","pillow","0","0","1"
"356","pin","0","0","1"
"357","pine","0","0","1"
"358","pineapple","0","0","1"
"359","pipe","0","0","1"
"360","pipe_(smoking)","0","0","1"
"361","pistol","0","0","1"
"362","plate","0","0","1"
"363","platypus","0","0","1"
"364","pliers","0","0","1"
"365","plug_(electric)","0","0","1"
"366","plum","0","0","1"
"367","pony","0","0","1"
"368","porcupine","0","0","1"
"369","pot","0","0","1"
"370","potato","0","0","1"
"371","projector","0","0","1"
"372","prune","0","0","1"
"373","pumpkin","0","0","1"
"374","pyramid","0","0","1"
"375","python","0","0","1"
"376","rabbit","0","0","1"
"377","raccoon","0","0","1"
"378","racquet","0","0","1"
"379","radio","0","0","1"
"380","radish","0","0","1"
"381","raft","0","0","1"
"382","raisin","0","0","1"
"383","rake","0","0","1"
"384","raspberry","0","0","1"
"385","rat","0","0","1"
"386","rattle","0","0","1"
"387","rattlesnake","0","0","1"
"388","raven","0","0","1"
"389","razor","0","0","1"
"390","revolver","0","0","1"
"391","rhubarb","0","0","1"
"392","rice","0","0","1"
"393","rifle","0","0","1"
"394","ring_(jewelry)","0","0","1"
"395","robe","0","0","1"
"396","robin","0","0","1"
"397","rock","0","0","1"
"398","rocker","0","0","1"
"399","rocket","0","0","1"
"400","rooster","0","0","1"
"401","rope","0","0","1"
"402","ruler","0","0","1"
"403","sack","0","0","1"
"404","saddle","0","0","1"
"405","sailboat","0","0","1"
"406","salamander","0","0","1"
"407","salmon","0","0","1"
"408","sandals","0","0","1"
"409","sandpaper","0","0","1"
"410","sardine","0","0","1"
"411","saucer","0","0","1"
"412","saxophone","0","0","1"
"413","scarf","0","0","1"
"414","scissors","0","0","1"
"415","scooter","0","0","1"
"416","screwdriver","0","0","1"
"417","screws","0","0","1"
"418","seagull","0","0","1"
"419","seal","0","0","1"
"420","seaweed","0","0","1"
"421","shack","0","0","1"
"422","shawl","0","0","1"
"423","shed","0","0","1"
"424","sheep","0","0","1"
"425","shell","0","0","1"
"426","shelves","0","0","1"
"427","shield","0","0","1"
"428","ship","0","0","1"
"429","shirt","0","0","1"
"430","shoes","0","0","1"
"431","shotgun","0","0","1"
"432","shovel","0","0","1"
"433","shrimp","0","0","1"
"434","sink","0","0","1"
"435","skateboard","0","0","1"
"436","skillet","0","0","1"
"437","skirt","0","0","1"
"438","skis","0","0","1"
