objectID,objectType,playerID,handedness,gender,ethnicity,race,allModelsBrent,allModelsGabe,allModelsMegan,allModelsMelody
6809,salmon,653,1,2,2,5,0,0,0,0
6808,lion,653,1,2,2,5,0,0,0,0
6807,certificate,653,1,2,2,5,0,0,0,0
6806,bus,653,1,2,2,5,0,0,-1,0
6805,doorknob,653,1,2,2,5,0,0,0,0
6804,dress,653,1,2,2,5,0,0,0,0
6803,banana,653,1,2,2,5,0,0,0,0
6802,cedar,653,1,2,2,5,0,0,0,0
6801,coconut,653,1,2,2,5,0,0,0,0
6800,shotgun,653,1,2,2,5,0,0,-1,0
6799,ox,653,1,2,2,5,0,0,0,0
6798,asparagus,653,1,2,2,5,0,0,0,0
6797,camisole,653,1,2,2,5,0,0,0,0
6796,projector,653,1,2,2,5,0,0,-1,0
6795,saxophone,653,1,2,2,5,0,0,-1,0
6794,pear,651,1,2,2,5,0,0,1,0
6793,piano,647,1,1,2,5,0,0,0,0
6792,worm,647,1,1,2,5,0,0,0,0
6791,bungalow,647,1,1,2,5,0,0,0,0
6790,sink,647,1,1,2,5,0,0,-1,0
6789,raft,647,1,1,2,5,0,0,0,0
6788,jeans,647,1,1,2,5,0,0,0,0
6787,bridge,647,1,1,2,5,0,0,0,0
6786,sheep,647,1,1,2,5,0,0,1,0
6785,spatula,647,1,1,2,5,0,0,0,0
6784,carpet,647,1,1,2,5,0,0,0,0
6783,wagon,647,1,1,2,5,0,0,1,0
6782,sword,647,1,1,2,5,0,0,0,0
6781,crab,647,1,1,2,5,0,0,0,0
6780,belt,647,1,1,2,5,0,0,1,0
6779,faucet,647,1,1,2,5,0,0,-1,0
6778,unicycle,647,1,1,2,5,0,0,1,0
6777,hut,647,1,1,2,5,0,0,0,0
6776,microwave,647,1,1,2,5,0,0,0,0
6775,wrench,651,1,2,2,5,0,0,0,0
6774,drain,651,1,2,2,5,0,0,0,0
6773,carpet,651,1,2,2,5,0,0,0,0
6772,finch,651,1,2,2,5,0,0,-1,0
6771,peg,651,1,2,2,5,0,0,0,0
6770,shelves,648,1,1,2,2,0,0,0,0
6769,grater,651,1,2,2,5,0,0,0,0
6768,rocket,641,1,1,2,4,0,0,0,0
6767,missile,648,1,1,2,2,0,0,1,0
6766,book,648,1,1,2,2,0,0,0,0
6765,boat,648,1,1,2,2,0,0,0,0
6764,rat,651,1,2,2,5,0,0,-1,0
6763,ruler,648,1,1,2,2,0,0,0,0
6762,pony,641,1,1,2,4,0,0,0,0
6761,bin_(waste),651,1,2,2,5,0,0,0,0
6760,telephone,641,1,1,2,4,0,0,0,0
6759,dandelion,648,1,1,2,2,0,0,0,0
6758,crab,651,1,2,2,5,0,0,0,0
6757,camel,641,1,1,2,4,0,0,0,0
6756,moth,648,1,1,2,2,0,0,0,0
6755,banana,654,1,1,2,5,0,0,0,0
6754,oriole,654,1,1,2,5,0,0,1,0
6753,goat,641,1,1,2,4,0,0,0,0
6752,racquet,654,1,1,2,5,0,0,1,0
6751,scarf,654,1,1,2,5,0,0,0,0
6750,bungalow,641,1,1,2,4,0,0,0,0
6749,marble,643,1,2,2,5,0,0,0,0
6748,tent,648,1,1,2,2,0,0,0,0
6747,wheel,641,1,1,2,4,0,0,0,0
6746,vine,651,1,2,2,5,0,0,-1,0
6745,typewriter,643,1,2,2,5,0,0,0,0
6744,blender,648,1,1,2,2,0,0,0,0
6743,vest,641,1,1,2,4,0,0,0,0
6742,duck,654,1,1,2,5,0,0,1,0
6741,typewriter,648,1,1,2,2,0,0,0,0
6740,orange,654,1,1,2,5,0,0,0,0
6739,cap_(hat),651,1,2,2,5,0,0,-1,0
6738,comb,641,1,1,2,4,0,0,0,0
6737,parka,654,1,1,2,5,0,0,0,0
6736,cabbage,648,1,1,2,2,0,0,0,0
6735,stereo,654,1,1,2,5,0,0,0,0
6734,cougar,651,1,2,2,5,0,0,0,0
6733,jet,648,1,1,2,2,0,0,-1,0
6732,spoon,654,1,1,2,5,0,0,1,0
6731,rice,641,1,1,2,4,0,0,0,0
6730,anchor,654,1,1,2,5,0,0,0,0
6729,chandelier,654,1,1,2,5,0,0,0,0
6728,pier,648,1,1,2,2,0,0,0,0
6727,raven,641,1,1,2,4,0,0,0,0
6726,cake,654,1,1,2,5,0,0,0,0
6725,bomb,648,1,1,2,2,0,0,0,0
6724,barrel,654,1,1,2,5,0,0,0,0
6723,hoe,651,1,2,2,5,0,0,1,0
6722,machete,648,1,1,2,2,0,0,1,0
6721,bench,654,1,1,2,5,0,0,0,0
6720,yacht,641,1,1,2,4,0,0,1,0
6719,oak,643,1,2,2,5,0,0,1,0
6718,beans,654,1,1,2,5,0,0,0,0
6717,lime,654,1,1,2,5,0,0,0,0
6716,grasshopper,654,1,1,2,5,0,0,1,0
6715,shack,641,1,1,2,4,0,0,0,0
6714,pineapple,654,1,1,2,5,0,0,0,0
6713,cow,654,1,1,2,5,0,0,1,0
6712,brush,651,1,2,2,5,0,0,1,0
6711,minnow,643,1,2,2,5,0,0,1,0
6710,toilet,654,1,1,2,5,0,0,0,0
6709,rifle,641,1,1,2,4,0,0,-1,0
6708,gloves,654,1,1,2,5,0,0,0,0
6707,flamingo,651,1,2,2,5,0,0,-1,0
6706,barrel,643,1,2,2,5,0,0,0,0
6705,nightingale,641,1,1,2,4,0,0,-1,0
6704,sleigh,648,1,1,2,2,0,0,-1,0
6703,ship,643,1,2,2,5,0,0,0,0
6702,machete,643,1,2,2,5,0,0,1,0
6701,wheelbarrow,651,1,2,2,5,0,0,-1,0
6700,salamander,643,1,2,2,5,0,0,-1,0
6699,walrus,651,1,2,2,5,0,0,-1,0
6698,slingshot,643,1,2,2,5,0,0,0,0
6697,magazine,643,1,2,2,5,0,0,0,0
6696,ostrich,651,1,2,2,5,0,0,-1,0
6695,hatchet,643,1,2,2,5,0,0,1,0
6694,ostrich,643,1,2,2,5,0,0,1,0
6693,hamster,643,1,2,2,5,0,0,1,0
6692,bazooka,651,1,2,2,5,0,0,1,0
6691,moose,651,1,2,2,5,0,0,-1,0
6690,cork,643,1,2,2,5,0,0,0,0
6689,squirrel,643,1,2,2,5,0,0,1,0
6688,shawl,641,1,1,2,4,0,0,0,0
6687,pillow,648,1,1,2,2,0,0,0,0
6686,oriole,648,1,1,2,2,0,0,1,0
6685,fridge,641,1,1,2,4,0,0,0,0
6684,pajamas,648,1,1,2,2,0,0,1,0
6683,seaweed,648,1,1,2,2,0,0,0,0
6682,tuba,643,1,2,2,5,0,0,-1,0
6681,hammer,648,1,1,2,2,0,0,-1,0
6680,bear,640,1,2,2,5,0,0,-1,0
6679,shell,643,1,2,2,5,0,0,0,0
6678,saucer,647,1,1,2,5,0,0,0,0
6677,flute,641,1,1,2,4,0,0,0,0
6676,lamp,640,1,2,2,5,0,0,0,0
6675,baton,640,1,2,2,5,0,0,0,0
6674,bed,647,1,1,2,5,0,0,0,0
6673,balloon,641,1,1,2,4,0,0,0,0
6672,onions,640,1,2,2,5,0,0,0,0
6671,salmon,640,1,2,2,5,0,0,1,0
6670,scissors,640,1,2,2,5,0,0,-1,0
6669,thermometer,643,1,2,2,5,0,0,0,0
6668,jet,647,1,1,2,5,0,0,1,0
6667,hamster,640,1,2,2,5,0,0,1,0
6666,mole_(animal),642,1,2,2,5,0,0,0,0
6665,brush,640,1,2,2,5,0,0,-1,0
6664,bullet,640,1,2,2,5,0,0,0,0
6663,crocodile,643,1,2,2,5,0,0,1,0
6662,hose_(leggings),640,1,2,2,5,0,0,0,0
6661,chisel,642,1,2,2,5,0,0,-1,0
6660,typewriter,642,1,2,2,5,0,0,0,0
6659,bull,640,1,2,2,5,0,0,0,0
6658,couch,643,1,2,2,5,0,0,0,0
6657,jacket,640,1,2,2,5,0,0,0,0
6656,cake,641,1,1,2,4,0,0,0,0
6655,moth,638,1,1,1,0,0,0,0,0
6654,cloak,642,1,2,2,5,0,0,0,0
6653,dress,638,1,1,1,0,0,0,-1,0
6652,hook,640,1,2,2,5,0,0,0,0
6651,pony,638,1,1,1,0,0,0,1,0
6650,pants,640,1,2,2,5,0,0,0,0
6649,pencil,643,1,2,2,5,0,0,-1,0
6648,rat,642,1,2,2,5,0,0,-1,0
6647,cockroach,640,1,2,2,5,0,0,0,0
6646,catfish,638,1,1,1,0,0,0,1,0
6645,wand,640,1,2,2,5,0,0,0,0
6644,tomato,638,1,1,1,0,0,0,0,0
6643,inn,641,1,1,2,4,0,0,0,0
6642,starling,638,1,1,1,0,0,0,0,0
